ID Artículo	ID Sub-Categoria	Producto	 PrecioUnitario 	 CostoUnitario 
TEC-AC-10003033	SUB_CAT-10	Plantronics CS510 - Over-the-Head monaural Wireless Headset System	 $329,95 	 $221,07 
TEC-AC-10004145	SUB_CAT-10	Logitech diNovo Edge Keyboard	 $249,99 	 $192,49 
TEC-PH-10004664	SUB_CAT-30	Nokia SmArte Phone, with Caller ID	 $638,91 	 $472,80 
TEC-PH-10004583	SUB_CAT-30	Motorola SmArte Phone, Cordless	 $642,78 	 $597,81 
TEC-PH-10000030	SUB_CAT-30	Samsung SmArte Phone, with Caller ID	 $636,15 	 $419,88 
TEC-CIS-10001717	SUB_CAT-30	Cisco SmArte Phone, with Caller ID	 $654,24 	 $366,39 
TEC-SHA-10000501	SUB_CAT-40	Sharp Wireless Fax, High-Speed	 $354,12 	 $315,18 
FUR-CH-10003950	SUB_CAT-20	Novimex Executive Leather Armchair, Black	 $457,95 	 $444,24 
FUR-CH-10004050	SUB_CAT-20	Novimex Executive Leather Armchair, Adjustable	 $455,52 	 $314,31 
FUR-CH-10002033	SUB_CAT-20	Harbour Creations Executive Leather Armchair, Adjustable	 $317,40 	 $228,54 
FUR-TA-10002958	SUB_CAT-50	Bevis Oval Conference Table, Walnut	 $465,37 	 $380,43 
FUR-TA-10000198	SUB_CAT-50	Chromcraft Bull-Nose Wood Oval Conference Mesas & Bases	 $550,98 	 $473,84 
FUR-TA-10001889	SUB_CAT-50	Bush Advantage Collection Racetrack Conference Table	 $591,22 	 $497,14 
OFF-BI-10003527	SUB_CAT-60	Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind	 $1.270,99 	 $635,50 
OFF-SU-10002881	SUB_CAT-70	MArtein Yale Chadless Opener Electric Letter Opener	 $832,81 	 $816,15 
OFF-AP-10003500	SUB_CAT-80	KitchenAid Microwave, White	 $308,46 	 $222,12 
OFF-AP-10000423	SUB_CAT-80	Breville Refrigerator, Red	 $519,33 	 $420,66 
OFF-AP-10004512	SUB_CAT-80	Hoover Stove, Red	 $568,47 	 $284,25 
TEC-CO-10000865	SUB_CAT-40	Brother Fax Machine, High-Speed	 $316,74 	 $281,91 
OFF-KIT-10004058	SUB_CAT-80	KitchenAid Stove, White	 $568,29 	 $431,91 
FUR-HON-10000224	SUB_CAT-50	Hon Computer Table, with Bottom Almacenamiento	 $494,43 	 $425,22 
TEC-PH-10001363	SUB_CAT-30	Apple iPhone 5S	 $569,99 	 $398,99 
FUR-CH-10000027	SUB_CAT-20	SAFCO Executive Leather Armchair, Black	 $459,00 	 $399,33 
OFF-AP-10003590	SUB_CAT-80	KitchenAid Refrigerator, Black	 $472,66 	 $312,20 
TEC-PH-10004182	SUB_CAT-30	Motorola SmArte Phone, Full Size	 $428,46 	 $317,08 
FUR-TA-10002827	SUB_CAT-50	Hon Computer Table, Fully Assembled	 $329,14 	 $197,50 
FUR-TA-10004744	SUB_CAT-50	Lesro Conference Table, with Bottom Almacenamiento	 $857,58 	 $497,40 
TEC-PH-10002885	SUB_CAT-30	Apple iPhone 5	 $649,83 	 $474,38 
FUR-CH-10001415	SUB_CAT-20	Office Star Executive Leather Armchair, Red	 $469,68 	 $324,09 
TEC-PH-10002815	SUB_CAT-30	Samsung SmArte Phone, VoIP	 $424,16 	 $369,02 
TEC-MA-10000161	SUB_CAT-90	Konica Receipt Printer, Durable	 $199,06 	 $125,02 
FUR-CH-10002024	SUB_CAT-20	HON 5400 Series Task Sillas for Big and Tall	 $700,98 	 $560,78 
OFF-AP-10004246	SUB_CAT-80	Breville Stove, Red	 $561,54 	 $393,09 
FUR-TA-10003473	SUB_CAT-50	Bretford Rectangular Conference Table Tops	 $376,13 	 $289,62 
TEC-APP-10000308	SUB_CAT-30	Apple SmArte Phone, Full Size	 $636,21 	 $458,10 
TEC-MA-10003979	SUB_CAT-90	Ativa V4110MDD Micro-Cut Shredder	 $699,99 	 $356,99 
TEC-MA-10004125	SUB_CAT-90	Cubify CubeX 3D Printer Triple Head Print	 $3.999,99 	 $2.959,99 
TEC-CO-10000013	SUB_CAT-40	Brother Fax Machine, Laser	 $318,54 	 $187,95 
TEC-PH-10000499	SUB_CAT-30	Motorola SmArte Phone, Full Size	 $642,69 	 $546,30 
TEC-PH-10003856	SUB_CAT-30	Motorola SmArte Phone, with Caller ID	 $645,54 	 $555,18 
FUR-BO-10004852	SUB_CAT-100	Sauder Classic Bookcase, Traditional	 $435,99 	 $274,68 
OFF-AP-10000486	SUB_CAT-80	CuisinArte Stove, Silver	 $539,04 	 $377,34 
OFF-BI-10001120	SUB_CAT-60	Ibico EPK-21 Electric Binding System	 $1.889,99 	 $963,89 
FUR-CH-10003365	SUB_CAT-20	Office Star Executive Leather Armchair, Adjustable	 $465,00 	 $274,35 
FUR-CH-10000602	SUB_CAT-20	Novimex Executive Leather Armchair, Red	 $460,20 	 $441,81 
TEC-MA-10002680	SUB_CAT-90	Konica Inkjet, White	 $310,59 	 $239,16 
